pitch_accel	pitch angle	motor0	motor1	motor2	motor3
23.776237	-58.442438	1357	1242	1357	1242
-17.715429	-66.372478	1251	1348	1251	1348
-32.196068	-82.955432	1206	1393	1206	1393
23.977028	-71.497077	1347	1252	1347	1252
28.527916	-54.581869	1377	1222	1377	1222
-23.568272	-67.117655	1228	1371	1228	1371
-18.943228	-78.331244	1233	1366	1233	1366
26.553543	-63.314569	1366	1233	1366	1233
8.600273	-56.713051	1325	1274	1325	1274
-28.508209	-73.007488	1209	1390	1209	1390
13.940722	-63.640702	1338	1261	1338	1261
-8.917342	-67.103827	1273	1326	1273	1326
-32.276802	-84.392542	1202	1397	1202	1397
20.975080	-72.973174	1347	1252	1347	1252
21.946215	-60.041249	1356	1243	1356	1243
-20.947504	-72.359169	1229	1370	1229	1370
-11.086946	-77.144265	1266	1333	1266	1333
21.487989	-63.016540	1362	1237	1362	1237
-24.840977	-77.042472	1219	1380	1219	1380
3.194168	-76.336920	1293	1306	1293	1306
15.687404	-64.630246	1349	1250	1349	1250
-24.088993	-76.894552	1228	1371	1228	1371
12.994151	-71.856600	1315	1284	1315	1284
24.494337	-57.217538	1365	1234	1365	1234
14.356437	-49.230170	1333	1266	1333	1266
-19.402306	-60.188752	1237	1362	1237	1362
15.381933	-51.156294	1338	1261	1338	1261
-8.469393	-54.823589	1274	1325	1274	1325
-15.068513	-60.628545	1263	1336	1263	1336
-13.516002	-67.136669	1258	1341	1258	1341
4.203614	-64.174533	1306	1293	1306	1293
1.417494	-62.411726	1300	1299	1300	1299
-3.424729	-63.784176	1284	1315	1284	1315
-1.302557	-64.768249	1286	1313	1286	1313
8.772142	-61.341631	1309	1290	1309	1290
2.544722	-60.452276	1296	1303	1296	1303
7.490555	-55.343425	1318	1281	1318	1281
-12.158464	-61.566257	1260	1339	1260	1339
-12.198238	-68.600833	1255	1344	1255	1344
12.825140	-61.291856	1328	1271	1328	1271
-14.396809	-67.892581	1258	1341	1258	1341
-10.157066	-72.178012	1269	1330	1269	1330
13.993146	-63.267398	1336	1263	1336	1263
-23.107058	-75.687170	1228	1371	1228	1371
-1.924839	-76.367682	1286	1313	1286	1313
2.754713	-73.229015	1306	1293	1306	1293
-11.834772	-78.597957	1262	1337	1262	1337
-13.897069	-85.255444	1255	1344	1255	1344
18.608667	-73.529911	1348	1251	1348	1251
-14.515597	-78.578293	1264	1335	1264	1335
-17.978910	-87.538743	1243	1356	1243	1356
23.007219	-72.312737	1366	1233	1366	1233
-27.277477	-83.526623	1233	1366	1233	1366
-16.643829	-91.667420	1247	1352	1247	1352
20.506767	-77.648872	1359	1240	1359	1240
-2.576658	-77.833068	1288	1311	1288	1311
-3.370382	-77.565080	1291	1308	1291	1308
4.976496	-71.441537	1321	1278	1321	1278
-10.990822	-76.033789	1267	1332	1267	1332
7.847057	-67.542243	1333	1266	1333	1266
0.131019	-63.162935	1313	1286	1313	1286
-20.904469	-70.887631	1252	1347	1252	1347
16.537512	-58.817911	1352	1247	1352	1247
-14.649928	-62.422192	1273	1326	1273	1326
-25.261278	-74.062812	1232	1367	1232	1367
29.820686	-54.157603	1392	1207	1392	1207
14.456125	-36.190078	1384	1215	1384	1215
26.280376	-15.621866	1400	1199	1400	1199
8.686188	-2.212027	1366	1233	1366	1233
-21.704569	-9.586996	1261	1338	1261	1338
-25.054106	-21.367249	1238	1361	1238	1361
20.675461	-6.731575	1372	1227	1372	1227
-19.638575	-15.949428	1251	1348	1251	1348
4.965388	-11.582623	1320	1279	1320	1279
3.173912	-5.759471	1328	1271	1328	1271
0.518203	-1.585592	1320	1279	1320	1279
-5.966489	-4.753355	1283	1316	1283	1316
21.940584	8.038254	1364	1235	1364	1235
-4.818197	6.746684	1294	1305	1294	1305
11.532167	13.033946	1333	1266	1333	1266
-12.520957	7.956344	1275	1324	1275	1324
-23.434052	-5.367278	1232	1367	1232	1367
30.496605	12.053519	1388	1211	1388	1211
-25.948074	-3.021666	1224	1375	1224	1375
-0.031591	-4.141242	1293	1306	1293	1306
3.327366	-0.572681	1317	1282	1317	1282
-3.140629	-5.917758	1272	1327	1272	1327
38.611290	15.373036	1408	1191	1408	1191
-31.097157	-0.760433	1219	1380	1219	1380
-13.010347	-7.700270	1264	1335	1264	1335
18.151846	1.970970	1348	1251	1348	1251
-20.069855	-12.942344	1223	1376	1223	1376
28.226669	4.329112	1386	1213	1386	1213
-20.759045	-7.157440	1241	1358	1241	1358
12.447371	-2.897593	1320	1279	1320	1279
25.804331	10.664589	1369	1230	1369	1230
-26.332579	-5.552048	1218	1381	1218	1381
29.010565	10.058129	1379	1220	1379	1220
-1.234758	9.180477	1296	1303	1296	1303
-5.583212	3.440528	1271	1328	1271	1328
9.592584	9.085020	1329	1270	1329	1270
-16.052084	-1.082364	1249	1350	1249	1350
18.190933	8.225074	1347	1252	1347	1252
-15.120513	1.561692	1266	1333	1266	1333
-11.031074	-5.928892	1261	1338	1261	1338
10.458821	0.727829	1333	1266	1333	1266
-6.537823	-3.742728	1277	1322	1277	1322
3.630211	-1.580641	1310	1289	1310	1289
0.970544	-0.736376	1304	1295	1304	1295
-9.341782	-6.206206	1271	1328	1271	1328
17.760559	0.703057	1334	1265	1334	1265
15.445297	8.158887	1338	1261	1338	1261
-10.728614	2.156706	1270	1329	1270	1329
-1.312633	0.690678	1292	1307	1292	1307
8.295355	5.487601	1324	1275	1324	1275
-7.983760	0.694379	1276	1323	1276	1323
-0.725428	-0.849288	1292	1307	1292	1307
2.824535	0.104822	1304	1295	1304	1295
0.170461	0.316268	1301	1298	1301	1298
-6.731729	-3.690502	1279	1320	1279	1320
3.993957	-2.465691	1305	1294	1305	1294
2.368865	-1.719413	1303	1296	1303	1296
1.348171	-0.944245	1303	1296	1303	1296
1.153889	-0.381815	1302	1297	1302	1297
-4.721144	-3.473166	1284	1315	1284	1315
2.757140	-2.067322	1306	1293	1306	1293
-2.330786	-2.579542	1297	1302	1297	1302
